,ds,y
10377,2021-03-30,63.28
10378,2021-03-31,63.52
10379,2021-04-01,63.85
10380,2021-04-05,63.85
10381,2021-04-06,61.47
10382,2021-04-07,61.86
10383,2021-04-08,62.09
10384,2021-04-09,61.89
10385,2021-04-12,62.38
10386,2021-04-13,62.83
10387,2021-04-14,66.11
10388,2021-04-15,66.13
10389,2021-04-16,65.98
10390,2021-04-19,66.54
10391,2021-04-20,65.34
10392,2021-04-21,64.02
10393,2021-04-22,65.07
10394,2021-04-23,65.75
10395,2021-04-26,65.5
10396,2021-04-27,66.25
10397,2021-04-28,67.08
10398,2021-04-29,68.26
10399,2021-04-30,67.73
10400,2021-05-05,69.71
10401,2021-05-06,68.62
10402,2021-05-07,68.73
10403,2021-05-10,68.61
10404,2021-05-11,68.83
10405,2021-05-12,69.62
10406,2021-05-13,67.36
10407,2021-05-14,69.24
10408,2021-05-17,69.62
10409,2021-05-18,69.01
10410,2021-05-19,66.88
10411,2021-05-20,65.18
10412,2021-05-21,66.72
10413,2021-05-24,68.59
10414,2021-05-25,68.8
10415,2021-05-26,68.93
10416,2021-05-27,69.43
10417,2021-05-28,69.36
10418,2021-06-01,70.03
10419,2021-06-02,70.6
10420,2021-06-03,70.71
10421,2021-06-04,71.3
10422,2021-06-07,70.89
10423,2021-06-08,71.39
10424,2021-06-09,71.31
10425,2021-06-10,71.65
10426,2021-06-11,72.05
10427,2021-06-14,72.27
10428,2021-06-15,73.38
10429,2021-06-16,73.88
10430,2021-06-17,72.92
10431,2021-06-18,73.1
10432,2021-06-21,74.49
10433,2021-06-22,74.92
10434,2021-06-23,75.22
10435,2021-06-24,75.95
10436,2021-06-25,76.45
10437,2021-06-28,74.78
10438,2021-06-29,75.38
10439,2021-06-30,76.94
10440,2021-07-01,76.69
10441,2021-07-02,77.51
10442,2021-07-05,78.34
10443,2021-07-06,75.81
10444,2021-07-07,74.31
10445,2021-07-08,75.07
10446,2021-07-09,77.14
10447,2021-07-12,76.77
10448,2021-07-13,77.5
10449,2021-07-14,75.74
10450,2021-07-15,74.53
10451,2021-07-16,74.46
10452,2021-07-19,69.33
10453,2021-07-20,70.03
10454,2021-07-21,72.54
10455,2021-07-22,74.25
10456,2021-07-23,74.86
10457,2021-07-26,74.79
10458,2021-07-27,74.87
10459,2021-07-28,75.09
10460,2021-07-29,76.3
10461,2021-07-30,77.72
10462,2021-08-02,73.91
10463,2021-08-03,73.24
10464,2021-08-04,70.99
10465,2021-08-05,72.14
10466,2021-08-06,71.02
10467,2021-08-09,69.65
10468,2021-08-10,71.14
10469,2021-08-11,71.99
10470,2021-08-12,71.79
10471,2021-08-13,70.9
10472,2021-08-16,70.07
10473,2021-08-17,69.4
10474,2021-08-18,68.61
10475,2021-08-19,66.8
10476,2021-08-20,65.51
10477,2021-08-23,69.07
10478,2021-08-24,71.21
10479,2021-08-25,72.12
10480,2021-08-26,70.42
10481,2021-08-27,72.26
10482,2021-08-31,73.45
10483,2021-09-01,71.99
10484,2021-09-02,73.56
10485,2021-09-03,73.07
10486,2021-09-06,72.43
10487,2021-09-07,71.52
10488,2021-09-08,72.36
10489,2021-09-09,71.32
10490,2021-09-10,72.44
10491,2021-09-13,72.97
10492,2021-09-14,73.05
10493,2021-09-15,74.84
10494,2021-09-16,75.14
10495,2021-09-17,74.64
10496,2021-09-20,73.59
10497,2021-09-21,73.65
10498,2021-09-22,75.5
10499,2021-09-23,76.44
10500,2021-09-24,77.42
10501,2021-09-27,78.85
10502,2021-09-28,78.3
10503,2021-09-29,77.86
10504,2021-09-30,77.81
10505,2021-10-01,79.4
10506,2021-10-04,81.44
10507,2021-10-05,82.72
10508,2021-10-06,81.39
10509,2021-10-07,82.34
10510,2021-10-08,82.17
10511,2021-10-11,83.75
10512,2021-10-12,83.53
10513,2021-10-13,83.53
10514,2021-10-14,83.86
10515,2021-10-15,84.67
10516,2021-10-18,84.13
10517,2021-10-19,85.02
10518,2021-10-20,85.76
10519,2021-10-21,84.58
10520,2021-10-22,85.43
10521,2021-10-25,84.85
10522,2021-10-26,85.11
10523,2021-10-27,84.12
10524,2021-10-28,83.4
10525,2021-10-29,83.1
10526,2021-11-01,84.51
10527,2021-11-02,84.42
10528,2021-11-03,81.1
10529,2021-11-04,80.15
10530,2021-11-05,82.43
10531,2021-11-08,83.22
10532,2021-11-09,84.52
10533,2021-11-10,82.91
10534,2021-11-11,83.4
10535,2021-11-12,82.9
10536,2021-11-15,81.94
10537,2021-11-16,82.85
10538,2021-11-17,80.67
10539,2021-11-18,82.45
10540,2021-11-19,80.24
10541,2021-11-22,80.97
10542,2021-11-23,83.43
10543,2021-11-24,82.37
10544,2021-11-25,82.05
10545,2021-11-26,72.37
10546,2021-11-29,73.34
10547,2021-11-30,70.86
10548,2021-12-01,69.53
10549,2021-12-02,70.56
10550,2021-12-03,70.71
10551,2021-12-06,73.38
10552,2021-12-07,75.54
10553,2021-12-08,75.94
10554,2021-12-09,74.1
10555,2021-12-10,74.98
10556,2021-12-13,74.12
10557,2021-12-14,73.37
10558,2021-12-15,73.71
10559,2021-12-16,74.64
10560,2021-12-17,72.97
10561,2021-12-20,70.51
10562,2021-12-21,72.85
10563,2021-12-22,74.69
10564,2021-12-23,76.26
10565,2021-12-24,75.24
10566,2021-12-27,75.24
10567,2021-12-29,78.63
10568,2021-12-30,78.61
10569,2021-12-31,77.24
10570,2022-01-03,78.25
10571,2022-01-04,79.39
10572,2022-01-05,80.6
10573,2022-01-06,81.99
10574,2022-01-07,82.28
10575,2022-01-10,81.56
10576,2022-01-11,84.98
10577,2022-01-12,85.83
10578,2022-01-13,85.8
10579,2022-01-14,87.17
10580,2022-01-17,87.82
10581,2022-01-18,88.83
10582,2022-01-19,89.64
10583,2022-01-20,89.75
10584,2022-01-21,89.75
10585,2022-01-24,87.74
10586,2022-01-25,89.49
10587,2022-01-26,91.22
10588,2022-01-27,90.7
10589,2022-01-28,91.47
10590,2022-01-31,92.35
10591,2022-02-01,90.24
10592,2022-02-02,91.43
10593,2022-02-03,92.99
10594,2022-02-04,96.86
10595,2022-02-07,97.28
10596,2022-02-08,96.07
10597,2022-02-09,94.95
10598,2022-02-10,96.37
10599,2022-02-11,97.5
10600,2022-02-14,101.66
10601,2022-02-15,98.43
10602,2022-02-16,97.44
10603,2022-02-17,95.28
10604,2022-02-18,96.18
10605,2022-02-21,98.95
10606,2022-02-22,98.73
10607,2022-02-23,99.29
10608,2022-02-24,101.29
10609,2022-02-25,98.56
10610,2022-02-28,103.08
10611,2022-03-01,110.93
10612,2022-03-02,118.94
10613,2022-03-03,115.36
10614,2022-03-04,123.86
10615,2022-03-07,129.02
10616,2022-03-08,133.18
10617,2022-03-09,116.58
10618,2022-03-10,114.54
10619,2022-03-11,118.11
10620,2022-03-14,110.39
10621,2022-03-15,105.14
10622,2022-03-16,104.61
10623,2022-03-17,113.5
10624,2022-03-18,114.32
10625,2022-03-21,122.29
10626,2022-03-22,121.53
10627,2022-03-23,127.52
10628,2022-03-24,123.98
10629,2022-03-25,122.67
10630,2022-03-28,114.5
10631,2022-03-29,112.79
10632,2022-03-30,115.59
10633,2022-03-31,107.29
10634,2022-04-01,106.13
10635,2022-04-04,108.15
10636,2022-04-05,106.6
10637,2022-04-06,100.81
10638,2022-04-07,99.83
10639,2022-04-08,101.26
10640,2022-04-11,97.92
10641,2022-04-12,104.42
10642,2022-04-13,108.49
10643,2022-04-14,110.83
10644,2022-04-18,110.83
10645,2022-04-19,105.49
10646,2022-04-20,105.05
10647,2022-04-21,107.2
10648,2022-04-22,105.15
10649,2022-04-25,99.27
10650,2022-04-26,102.89
10651,2022-04-27,103.3
10652,2022-04-28,105.78
10653,2022-04-29,108.36
10654,2022-05-02,108.36
10655,2022-05-03,104.94
10656,2022-05-04,110.53
10657,2022-05-05,112.11
10658,2022-05-06,113.86
10659,2022-05-09,106.67
10660,2022-05-10,102.61
10661,2022-05-11,107.7
10662,2022-05-12,108.06
10663,2022-05-13,112.12
10664,2022-05-16,114.86
10665,2022-05-17,112.89
10666,2022-05-18,110.04
10667,2022-05-19,113.22
10668,2022-05-20,113.63
10669,2022-05-23,115.13
10670,2022-05-24,115.77
10671,2022-05-25,116.41
10672,2022-05-26,119.81
10673,2022-05-27,121.19
10674,2022-05-30,123.01
10675,2022-05-31,125.53
10676,2022-06-01,122.2
10677,2022-06-03,125.68
10678,2022-06-06,124.99
10679,2022-06-07,126.89
10680,2022-06-08,129.2
10681,2022-06-09,128.47
10682,2022-06-10,127.44
10683,2022-06-13,128.44
10684,2022-06-14,127.02
10685,2022-06-15,124.96
10686,2022-06-16,125.78
10687,2022-06-17,119.22
10688,2022-06-20,118.25
10689,2022-06-21,118.51
10690,2022-06-22,115.54
10691,2022-06-23,114.5
10692,2022-06-24,117.36
